station_code,name,lat,lon,type,nearest_town,warning_level,danger_level,frl,mwl,highest_flow_level
005-SWRDKOCHI,KUNIYIL,11.239444444444443,76.02333333333333,Base,Kuttooli,10.85,11.85,,,12.14
005-TDSURAT,MOTINAROLI,21.23777777777778,72.96333333333334,Base,,16.0,18.0,,,18.225
005-UBDDIB,Passighat,28.07777777777778,95.33555555555554,Level,"",152.96,153.96,,,157.54
005-UGDHYD,NMD-Weir,20.009166666666665,74.13194444444444,Inflow,"",,,533.5,,
005-UKDPUNE,KURUNDWAD,16.684444444444445,74.60222222222221,Base,"",535.64,537.16,,,541.35
005-UYDDEL,Haripur,30.537222222222223,77.82583333333334,Base,"",479.5,480.5,,,482.48
005-WGDNGP,Sitekasa,21.58111111111111,79.8,Base,"",,,,,311.5
0052-SRDCBE,Madurai,9.933333333333334,78.11666666666666,Level,,131.5,132.5,,,134.76
005NEID1,Kulichera,24.49083333343883,92.80444444403835,Base,"",,,,,
005NEID3,METEOROLOGICAL STATION JANG,27.581944444444446,92.43083333333334,Base,,,,,,
005PURNA,PURNAGIRI,29.133055555555558,80.2,Base,,,,,,
006-CDBNG,HOLEHONNUR,13.97638888888889,75.68527777777778,Base,,560.2,560.725,,,563.465
006-CHEJMU,Safapora,34.246694444444444,74.62322222222221,Level,Baramulla,1580.52,1581.28,,,1582.2
006-DDASL,Hendegir,23.704722222222223,85.1725,Base,"",364.24,365.24,,,369.21
006-ERDBWN,Adityapur,22.79138888888889,86.17361111111111,Base,,,,,,137.8
006-HGDDDN,Rudraprayag (M),30.288611111111113,78.97916666666667,Base,,625.0,626.0,,,634.0
006-LBDJPG,Barabisha,26.47472222222222,89.7863888888889,Base,"",,,,,50.1
006-LGD3BEH,BERHAIT (SEASONAL DISCHARGE)),24.89472222222222,87.61638888888888,Base,,,47.53,,,49.8
006-LGDHYD,Jagdalpur,19.108055555555556,82.02277777777778,Level,"",539.5,540.8,,,544.68
006-LKDHYD,Jewangi,17.254444444444445,77.46277777777777,Base,,425.5,426.6,,,428.38
006-LYDAGR,KALPI,26.129166666666666,79.75944444444444,Level,kalpi,107.0,108.0,,,112.98
006-MAHGAND,Paderdibadi,23.76638888888889,74.13388888888889,Base,"",139.0,140.0,,,149.65
006-MBDGHY,Puthimari NH Rd Xing,26.365833333333335,91.65277777777779,Level,"",51.31,52.31,,,55.08
006-MDBURLA,Bamnidhi,21.9,82.71333333333334,Base,,,,,,229.255
006-MDSIL,GAJARIA,23.649444444444445,91.23083333333334,Base,,8.6,9.2,,,11.25
006-MGD1LKN,Paliakalan,28.384999999999998,80.55333333333333,Base,,153.59,154.59,,,155.82
006-MGD2LKN,Bhatpurwaghat,27.191111111111113,80.8,Base,"",113.3,114.3,,,115.55
006-MGD3VNS,Varanasi,25.325833333333332,83.03999999999999,Level,Varanasi,70.262,71.262,,58.101,73.901
006-MGD4PTN,Rosera,25.749722222222225,86.02111111111111,Level,"",41.63,42.63,,,46.56
006-MGD5PTN,Bhagalpur,25.269444444444442,87.01555555555555,Level,"",32.68,33.68,,,34.86
006-NDBHP,Patan,23.311666666666667,79.66277777777778,Base,,353.0,354.0,,,356.83
006-SHDSIM,BAROT,32.04666666666667,76.83305555555555,Base,,,,,,1826.72
006-SRDCBE,SEVANUR,11.559166666666668,77.71583333333334,Base,"",173.0,173.25,,,173.33
006-SWRDKOCHI,KARATHODU,11.056944444444445,76.03944444444444,Base,"",12.0,13.0,,,14.7
006-TDSURAT,CHANWADA,22.05,73.46527777777779,Base,,24.0,25.0,,,33.55
006-UBDDIB,Tezu,27.910833333333333,96.17055555555557,Base,"",190.25,191.25,,,197.8
006-UGDHYD,Kopergaon,19.89,74.49,Level,"",490.9,493.68,,,499.17
006-UKDPUNE,Terwad (Seasonal),16.67638888888889,74.57416666666666,Base,"",534.0,536.0,,,541.64
006-UYDDEL,Yashwant Nagar,30.88222222222222,77.20944444444444,Base,"",900.0,901.0,,,903.8
006-WGDNGP,Bhandara,21.149166666666666,79.66861111111112,Level,Bhandara,245.5,245.7,,,250.9
006RUPALI,RUPALIGAD,29.283333333333335,80.3,Base,,,,,,
007-CDBNG,HOOVINAHOLE,13.9825,76.74916666666667,Base,,97.0,98.0,,,97.78
007-CDJAIPUR,Gandhi Sagar Reservoir,24.65,75.61,Inflow,mandsaur,,,399.9,399.9,
007-DDASL,Ramgarh,23.641666666666666,85.5111111111111,Base,"",306.51,307.51,,,316.68
007-ERDBWN,Muri,23.36888888888889,85.87527777777777,Base,,,,,,238.12
007-HGDDDN,Srinagar,30.228888888888886,78.78666666666666,Level,,535.0,536.0,,,537.9
007-HYDCHENNAI,Tadipatri,14.921944444444444,78.01638888888888,Base,"",228.84,229.84,,,230.34
007-LBDJPG,Sankosh LRP,26.45777777777778,89.85805555555555,Base,"",,,,,49.25
